timestamp,flight_id,angle_roll_est,angle_pitch_est,angle_roll,angle_pitch,angle_yaw,gyro_rate_roll,gyro_rate_pitch,gyro_rate_yaw,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,error_phi,error_theta,input_roll,input_pitch,input_yaw,motor_1,motor_2,motor_3,motor_4,altura,flight_mode,device_id,roll,pitch,yaw
2025-09-07T23:14:02.073000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.04,0.14,-0.18,0.21,0,-0.12,-0.09,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.18,0.21,0
2025-09-07T23:14:02.096000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.04,0.13,0.14,0.12,0,-0.15,-0.14,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.14,0.12,0
2025-09-07T23:14:02.119000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.13,0.04,0.11,0,-0.17,-0.11,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,0.11,0
2025-09-07T23:14:02.150000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.13,0.01,0.17,0,-0.15,-0.06,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.01,0.17,0
2025-09-07T23:14:02.166000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.14,0.12,0.12,0,-0.12,-0.08,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.12,0.12,0
2025-09-07T23:14:02.197000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.01,0.14,-0.1,0.22,0,-0.15,-0.12,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.1,0.22,0
2025-09-07T23:14:02.207000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.01,0.15,-0.01,0.23,0,-0.18,-0.17,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.01,0.23,0
2025-09-07T23:14:02.241000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.15,-0.08,0.19,0,-0.15,-0.12,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.08,0.19,0
2025-09-07T23:14:02.248000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,-0.21,0.12,0,-0.18,-0.12,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.21,0.12,0
2025-09-07T23:14:02.267000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,0,0.19,0,-0.15,-0.06,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0.19,0
2025-09-07T23:14:02.303000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.04,0.16,-0.23,0.12,0,-0.15,-0.11,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.23,0.12,0
2025-09-07T23:14:02.311000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.04,0.16,0.06,0.25,0,-0.15,-0.11,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.06,0.25,0
2025-09-07T23:14:02.329000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.04,0.15,0.04,-0.01,0,-0.2,-0.11,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,-0.01,0
2025-09-07T23:14:02.363000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.16,0.1,0.26,0,-0.2,-0.12,0.08,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.1,0.26,0
2025-09-07T23:14:02.376000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,0.03,0.07,0,-0.15,-0.11,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.03,0.07,0
2025-09-07T23:14:02.405000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.15,0.08,0.21,0,-0.14,-0.12,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.08,0.21,0
2025-09-07T23:14:02.416000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.01,0.15,0.15,0.1,0,-0.18,-0.15,0.02,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.15,0.1,0
2025-09-07T23:14:02.436000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.01,0.15,-0.08,0.22,0,-0.15,-0.15,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.08,0.22,0
2025-09-07T23:14:02.456000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.01,0.15,-0.03,0.1,0,-0.17,-0.14,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.03,0.1,0
2025-09-07T23:14:02.472000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.15,-0.11,0.17,0,-0.15,-0.09,0.02,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.11,0.17,0
2025-09-07T23:14:02.510000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.15,-0.12,0.08,0,-0.21,-0.09,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.12,0.08,0
2025-09-07T23:14:02.521000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,0,0.21,0,-0.15,-0.11,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0.21,0
2025-09-07T23:14:02.540000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,-0.07,0.17,0,-0.2,-0.09,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.07,0.17,0
2025-09-07T23:14:02.563000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.16,-0.04,0.18,0,-0.21,-0.11,0.09,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.04,0.18,0
2025-09-07T23:14:02.578000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,0.04,0.14,0,-0.17,-0.09,0.02,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,0.14,0
2025-09-07T23:14:02.602000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,-0.01,0.1,0,-0.12,-0.11,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.01,0.1,0
2025-09-07T23:14:02.623000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.15,0.21,0.18,0,-0.18,-0.12,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.21,0.18,0
2025-09-07T23:14:02.649000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.15,-0.06,0.18,0,-0.17,-0.12,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.06,0.18,0
2025-09-07T23:14:02.676000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.01,0.15,0.04,0.22,0,-0.2,-0.09,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,0.22,0
2025-09-07T23:14:02.685000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.02,0.15,-0.1,0.03,0,-0.17,-0.09,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.1,0.03,0
2025-09-07T23:14:02.707000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.03,0.15,-0.19,0.14,0,-0.15,-0.09,0.02,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.19,0.14,0
2025-09-07T23:14:02.731000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.04,0.15,-0.1,0.06,0,-0.18,-0.09,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.1,0.06,0
2025-09-07T23:14:02.756000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.05,0.15,-0.19,0.19,0,-0.17,-0.11,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.19,0.19,0
2025-09-07T23:14:02.776000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.05,0.14,-0.03,0.11,0,-0.17,-0.12,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.03,0.11,0
2025-09-07T23:14:02.799000Z,e0e9a794-faf8-46f6-ac9b-5069125815a3,-0.05,0.15,0.11,0.25,0,-0.15,-0.14,0.02,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.11,0.25,0
