timestamp,flight_id,angle_roll_est,angle_pitch_est,angle_roll,angle_pitch,angle_yaw,gyro_rate_roll,gyro_rate_pitch,gyro_rate_yaw,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,error_phi,error_theta,input_roll,input_pitch,input_yaw,motor_1,motor_2,motor_3,motor_4,altura,flight_mode,device_id,roll,pitch,yaw
2025-09-07T18:42:32.237000Z,2e702754-12da-4677-8056-3f6240b6755f,0,0.09,0.06,0.2,0,0.05,0.05,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.06,0.2,0
2025-09-07T18:42:32.262000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.09,0.21,-0.03,0,-0.02,0.06,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.21,-0.03,0
2025-09-07T18:42:32.280000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.09,0.06,0.11,0,-0.06,-0.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.06,0.11,0
2025-09-07T18:42:32.314000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.08,0.1,-0.01,0,-0.09,0.06,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.1,-0.01,0
2025-09-07T18:42:32.329000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.08,0.04,0.11,0,0,0.03,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,0.11,0
2025-09-07T18:42:32.360000Z,2e702754-12da-4677-8056-3f6240b6755f,0.03,0.09,0,0.11,0,-0.03,-0.02,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0.11,0
2025-09-07T18:42:32.364000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.09,0.04,0.13,0,0.05,-0.05,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,0.13,0
2025-09-07T18:42:32.386000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.09,-0.17,0.08,0,-0.06,-0.15,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.17,0.08,0
2025-09-07T18:42:32.415000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.09,-0.03,0.22,0,-0.03,-0.17,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.03,0.22,0
2025-09-07T18:42:32.431000Z,2e702754-12da-4677-8056-3f6240b6755f,0,0.09,0.04,0.11,0,-0.05,-0.26,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.04,0.11,0
2025-09-07T18:42:32.457000Z,2e702754-12da-4677-8056-3f6240b6755f,0,0.09,-0.06,0.13,0,-0.02,-0.23,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.06,0.13,0
2025-09-07T18:42:32.478000Z,2e702754-12da-4677-8056-3f6240b6755f,0,0.08,0,0.11,0,0.03,-0.14,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0.11,0
2025-09-07T18:42:32.500000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.01,0.08,-0.21,-0.13,0,0,-0.11,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.21,-0.13,0
2025-09-07T18:42:32.525000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.02,0.07,-0.07,0.03,0,-0.02,0.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.07,0.03,0
2025-09-07T18:42:32.537000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.02,0.06,0.08,-0.01,0,-0.05,0.05,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.08,-0.01,0
2025-09-07T18:42:32.559000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.01,0.07,-0.07,0.1,0,-0.06,0.08,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.07,0.1,0
2025-09-07T18:42:32.590000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.01,0.07,0.1,0,0,-0.09,0.09,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.1,0,0
2025-09-07T18:42:32.597000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.08,0.21,0.24,0,-0.06,0.03,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.21,0.24,0
2025-09-07T18:42:32.622000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.08,0.18,0.11,0,-0.03,0.03,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.18,0.11,0
2025-09-07T18:42:32.641000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.09,-0.08,0.15,0,-0.03,-0.12,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.08,0.15,0
2025-09-07T18:42:32.664000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.09,-0.07,0.06,0,-0.02,-0.09,-0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.07,0.06,0
2025-09-07T18:42:32.692000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.09,-0.03,0.17,0,0.03,-0.15,-0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.03,0.17,0
2025-09-07T18:42:32.713000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.01,0.08,-0.11,-0.03,0,0,-0.11,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.11,-0.03,0
2025-09-07T18:42:32.731000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.02,0.07,-0.15,0.03,0,-0.02,-0.06,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.15,0.03,0
2025-09-07T18:42:32.752000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.01,0.07,0.08,0.08,0,0.02,0.03,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.08,0.08,0
2025-09-07T18:42:32.773000Z,2e702754-12da-4677-8056-3f6240b6755f,-0.01,0.07,0.11,-0.01,0,-0.03,0.03,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.11,-0.01,0
2025-09-07T18:42:32.796000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.07,0.08,0.15,0,-0.03,0.08,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.08,0.15,0
2025-09-07T18:42:32.823000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.07,0.22,0.13,0,-0.06,0.02,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.22,0.13,0
2025-09-07T18:42:32.841000Z,2e702754-12da-4677-8056-3f6240b6755f,0.03,0.08,0.08,0.2,0,-0.03,-0.05,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.08,0.2,0
2025-09-07T18:42:32.864000Z,2e702754-12da-4677-8056-3f6240b6755f,0.03,0.09,0.08,0.14,0,-0.05,-0.06,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.08,0.14,0
2025-09-07T18:42:32.882000Z,2e702754-12da-4677-8056-3f6240b6755f,0.03,0.09,-0.03,0.1,0,0.06,-0.12,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.03,0.1,0
2025-09-07T18:42:32.904000Z,2e702754-12da-4677-8056-3f6240b6755f,0.02,0.08,-0.24,0.07,0,0,-0.17,-0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.24,0.07,0
2025-09-07T18:42:32.924000Z,2e702754-12da-4677-8056-3f6240b6755f,0.01,0.08,-0.08,0.18,0,0.02,-0.14,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.08,0.18,0
2025-09-07T18:42:32.948000Z,2e702754-12da-4677-8056-3f6240b6755f,0,0.08,-0.1,-0.01,0,0,-0.06,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.1,-0.01,0
