timestamp,flight_id,angle_roll_est,angle_pitch_est,angle_roll,angle_pitch,angle_yaw,gyro_rate_roll,gyro_rate_pitch,gyro_rate_yaw,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,error_phi,error_theta,input_roll,input_pitch,input_yaw,motor_1,motor_2,motor_3,motor_4,altura,flight_mode,device_id,roll,pitch,yaw
2025-09-07T23:23:34.950000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.03,0.17,-0.15,0.14,0,-0.17,-0.08,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.15,0.14,0
2025-09-07T23:23:34.969000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.02,0.17,0.15,0.26,0,-0.08,-0.11,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.15,0.26,0
2025-09-07T23:23:34.991000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.02,0.17,-0.01,0.17,0,-0.12,-0.23,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.01,0.17,0
2025-09-07T23:23:35.011000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0,0.17,0.25,0.22,0,-0.12,-0.24,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.25,0.22,0
2025-09-07T23:23:35.033000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0.01,0.16,0.17,0.07,0,-0.15,-0.15,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.17,0.07,0
2025-09-07T23:23:35.056000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0.03,0.16,0.11,0.11,0,-0.15,-0.12,0.08,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.11,0.11,0
2025-09-07T23:23:35.077000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0.02,0.15,-0.03,0.1,0,-0.2,-0.09,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.03,0.1,0
2025-09-07T23:23:35.105000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0.01,0.15,-0.22,0.13,0,-0.23,-0.03,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.22,0.13,0
2025-09-07T23:23:35.123000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0,0.15,-0.08,0.21,0,-0.2,0.05,0.03,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.08,0.21,0
2025-09-07T23:23:35.147000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.01,0.16,-0.21,0.18,0,-0.2,-0.02,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.21,0.18,0
