t_s,raw,est,ref
5.081,0.03,0.15,0
5.099,0.24,0.15,0
5.099,0.29,0.16,0
5.099,0.12,0.15,0
5.101,0.22,0.17,0
5.118,0.19,0.17,0
5.137,0.11,0.16,0
5.163,0.22,0.17,0
5.182,0.07,0.16,0
5.204,0.04,0.15,0
5.227,0.14,0.15,0
5.246,0.11,0.15,0
5.283,0.25,0.16,0
5.296,0.04,0.16,0
5.312,0.3,0.16,0
5.336,0.12,0.16,0
5.367,0.26,0.16,0
5.379,0.12,0.16,0
5.414,0.04,0.15,0
5.431,0.18,0.15,0
5.451,0.26,0.16,0
5.468,0.22,0.16,0
5.501,0.17,0.16,0
5.522,0.18,0.16,0
5.534,0.1,0.16,0
5.553,0.39,0.17,0
5.599,0.11,0.17,0
5.6,0.19,0.17,0
5.632,0.22,0.17,0
5.642,0.11,0.17,0
5.68,0.25,0.17,0
5.686,0.08,0.17,0
5.728,0.19,0.17,0
5.748,0.21,0.17,0
5.755,0.17,0.17,0
5.775,0.17,0.17,0
5.797,0.25,0.17,0
5.82,0.08,0.17,0
5.842,0.19,0.17,0
5.863,0.11,0.17,0
5.894,0.17,0.17,0
5.906,0.19,0.17,0
5.927,0.08,0.16,0
5.947,0.22,0.16,0
5.976,0.12,0.16,0
5.996,0.3,0.16,0
6.019,0.1,0.16,0
6.04,0.15,0.16,0
6.066,0.14,0.16,0
6.081,0.12,0.16,0
6.097,0.06,0.16,0
6.122,0.22,0.16,0
6.149,0.1,0.15,0
6.159,0.15,0.16,0
6.183,0.14,0.15,0
6.206,0.08,0.15,0
6.228,0.18,0.15,0
6.247,0.12,0.15,0
6.275,0.14,0.15,0
6.301,0.03,0.14,0
6.322,0.17,0.14,0
6.335,0.08,0.14,0
6.354,0.17,0.14,0
6.398,0.06,0.13,0
6.403,0.14,0.13,0
6.426,0.18,0.13,0
6.448,0.17,0.14,0
6.471,0.18,0.13,0
6.485,0.17,0.14,0
6.513,0.25,0.14,0
6.547,0.11,0.14,0
6.559,0.08,0.14,0
6.577,0.24,0.14,0
6.609,0.15,0.14,0
6.62,0.21,0.14,0
6.642,0.14,0.14,0
6.667,0.08,0.14,0
6.685,0.14,0.14,0
6.714,0.19,0.14,0
6.732,0.17,0.15,0
6.758,0.25,0.15,0
6.772,0.07,0.15,0
6.792,0.3,0.16,0
6.818,0.15,0.16,0
6.843,0.11,0.16,0
